return,PE,industry,location,mv
2.41,99.61,IT设备,北京,         36.86亿
1.66,99.55,电气设备,广东,         56.19亿
1.58,99.3,电气设备,湖北,         19.46亿
3.1,99.02,IT设备,天津,        329.51亿
0.24,98.76,医疗保健,北京,         49.07亿
1.86,98.71,通信设备,北京,         67.94亿
2.97,98.42,半导体,深圳,         17.70亿
1.81,98.41,电器仪表,浙江,         18.74亿
1.61,98.3,软件服务,四川,         30.07亿
1.52,97.92,中成药,广东,         27.05亿
0.83,97.86,火力发电,山西,         71.06亿
0.89,97.76,软件服务,深圳,         47.28亿
-0.58,97.69,文教休闲,江苏,         12.34亿
0.88,97.66,多元金融,上海,         32.66亿
5.46,97.65,专用机械,湖北,         59.98亿
1.14,97.52,小金属,陕西,         13.09亿
1.79,97.51,IT设备,北京,         29.50亿
0.98,97.42,软件服务,深圳,         72.65亿
0.8,97.22,化学制药,云南,         11.21亿
0.58,97.21,软件服务,北京,        141.60亿
3.59,96.9,饲料,浙江,         12.80亿
-0.44,96.89,农业综合,河南,        967.20亿
0.94,96.61,中成药,上海,         12.03亿
1.56,96.24,化工原料,广东,         26.01亿
1.25,96.12,元器件,浙江,         23.61亿
3.13,95.92,证券,西藏,         39.10亿
0.63,95.8,电气设备,江苏,         69.75亿
0.57,95.66,区域地产,上海,         47.34亿
2.33,94.99,软件服务,北京,        185.30亿
-1.55,94.8,互联网,浙江,         30.40亿
1.91,94.71,矿物制品,江苏,          7.69亿
4.75,94.68,汽车配件,黑龙江,         25.53亿
1.86,94.46,化工原料,广东,         18.83亿
0.57,94.34,电器仪表,河南,          6.15亿
0.67,94.27,机械基件,江苏,         18.43亿
1.41,94.18,红黄酒,甘肃,         18.46亿
1.91,93.62,仓储物流,深圳,         16.55亿
1.05,93.44,汽车配件,四川,          7.85亿
0.42,93.44,普钢,山东,         26.93亿
9.98,93.26,元器件,江苏,         51.11亿
5.84,93.07,软件服务,上海,         35.58亿
2.14,93.03,通信设备,深圳,         11.65亿
2.24,93,汽车配件,浙江,         29.81亿
-0.49,92.86,塑料,浙江,         38.13亿
1.97,92.63,铝,广东,         64.30亿
1.05,92.59,电器仪表,福建,         15.07亿
1.72,92.5,仓储物流,深圳,         87.57亿
2.88,92.38,超市连锁,湖北,         46.15亿
1.28,91.94,房产服务,上海,         16.09亿
1.58,91.86,塑料,广东,         15.08亿
0.99,91.8,专用机械,江苏,         18.54亿
2.72,91.72,生物制药,北京,         49.33亿
0.88,91.5,水力发电,广东,         65.11亿
1.53,91.45,元器件,浙江,         67.37亿
1.34,91.43,中成药,西藏,         13.17亿
0.48,91.22,区域地产,湖北,         36.37亿
2.1,91.03,文教休闲,上海,          9.24亿
9.96,90.9,其他建材,海南,         53.55亿
0.8,90.88,电器仪表,北京,         15.69亿
3.23,90.78,医疗保健,广东,         16.97亿
1.05,90.61,软件服务,北京,         74.68亿
10.04,90.58,半导体,深圳,         31.56亿
3.25,90.49,元器件,深圳,         82.89亿
1.96,90.24,综合类,浙江,         24.26亿
1.62,90.07,电气设备,江苏,          9.57亿
0.32,90.01,百货,上海,         61.52亿
4.59,89.92,软件服务,广东,         22.89亿
0.71,89.92,纺织,上海,         30.29亿
1.37,89.69,专用机械,北京,         12.09亿
0.08,89.6,化工原料,福建,         13.57亿
0.33,89.36,水泥,吉林,         98.31亿
1.74,89.32,电气设备,北京,         25.50亿
1.78,89.32,元器件,广东,         19.75亿
1.04,89.12,电气设备,山东,        170.51亿
0.08,88.74,化学制药,北京,         32.82亿
-1.24,88.38,文教休闲,安徽,        122.24亿
2,88.08,软件服务,深圳,         14.20亿
10.02,87.66,通信设备,陕西,         40.88亿
0.8,87.66,公路,北京,          6.39亿
2.02,87.62,化工原料,广东,        103.95亿
2.96,87.61,证券,云南,         61.99亿
1.45,87.32,电器仪表,吉林,         33.60亿
2.47,86.96,电器仪表,浙江,          9.35亿
1.64,86.95,汽车配件,深圳,         13.92亿
1.57,86.71,专用机械,甘肃,         60.64亿
1.91,86.64,电器仪表,江苏,         19.82亿
1.11,86.61,软件服务,四川,         19.55亿
0.88,86.45,家用电器,江苏,         37.12亿
1.56,86.41,汽车配件,广东,         36.58亿
1,86.31,综合类,浙江,          7.57亿
3.26,86.19,塑料,上海,          7.13亿
1.67,86.06,小金属,江西,        233.92亿
0.83,85.9,专用机械,浙江,         20.62亿
1.8,85.9,文教休闲,陕西,         20.85亿
0.96,85.62,区域地产,重庆,         26.57亿
1.69,85.53,出版业,海南,         58.47亿
3.11,85.34,半导体,甘肃,        190.70亿
4.3,85.21,航空,黑龙江,         63.22亿
4.19,85.02,半导体,上海,         55.49亿
2.75,84.99,软件服务,深圳,         29.64亿
2.22,84.91,化学制药,广东,          8.00亿
0.38,84.86,多元金融,浙江,         24.26亿
0.89,84.61,软件服务,重庆,         14.63亿
4.16,84.57,化工原料,江苏,         21.19亿
1.53,84.49,化工原料,西藏,         25.72亿
1.67,84.4,航空,陕西,        402.60亿
1.06,84.28,食品,广东,         20.49亿
4.04,84.03,半导体,广东,         71.18亿
1.05,83.74,通信设备,天津,         46.40亿
0.32,83.69,电器仪表,北京,         38.24亿
1.42,83.54,互联网,浙江,         13.14亿
2.13,83.45,专用机械,江西,          6.03亿
0.79,83.22,染料涂料,湖南,          7.49亿
2.24,83.17,半导体,吉林,         60.93亿
2.5,83,食品,新疆,         25.30亿
1.38,82.9,电气设备,浙江,          9.96亿
2.02,82.87,电气设备,河北,         15.54亿
1.29,82.56,专用机械,北京,         21.81亿
0.14,82.55,广告包装,上海,         28.18亿
3.05,82.19,互联网,湖北,         24.47亿
0.69,82.12,机械基件,安徽,         13.94亿
5.77,82.11,家居用品,深圳,         30.51亿
-0.94,81.96,综合类,北京,         11.35亿
-0.99,81.95,中成药,山东,        228.20亿
10.03,81.75,房产服务,深圳,         70.54亿
1.48,81.72,软件服务,北京,         15.07亿
0.83,81.67,装修装饰,深圳,          5.51亿
2.39,81.4,专用机械,浙江,         33.51亿
4.53,81.37,元器件,深圳,         46.61亿
1.5,81,软件服务,北京,         33.81亿
1.16,80.94,食品,浙江,         44.48亿
1.92,80.89,运输设备,北京,         10.45亿
1.2,80.81,染料涂料,上海,         27.55亿
2.73,80.75,软件服务,上海,         72.45亿
1.65,80.62,元器件,深圳,         29.57亿
1.75,80.45,专用机械,江苏,         11.96亿
2.49,80.4,化工原料,河北,         25.66亿
1.74,80.38,电器仪表,江苏,         14.92亿
1.7,80.19,生物制药,广东,         81.71亿
2.71,79.87,塑料,江苏,         11.87亿
0.98,79.85,运输设备,山西,         49.90亿
1.37,79.69,商贸代理,上海,         41.00亿
1.32,79.39,广告包装,福建,         50.87亿
1.65,79.33,电气设备,浙江,         60.34亿
0.45,79.29,建筑工程,四川,         32.38亿
2.19,79.13,软件服务,广东,         26.96亿
0.52,78.93,互联网,广东,         22.22亿
0.71,78.8,农业综合,甘肃,         55.10亿
2.86,78.51,专用机械,上海,          9.55亿
1.68,78.37,软件服务,上海,         29.87亿
1.48,78.34,汽车配件,浙江,         57.98亿
1.26,78.02,供气供热,贵州,         96.78亿
3.11,77.94,元器件,深圳,         10.36亿
1.64,77.65,专用机械,江苏,          6.92亿
0.99,77.64,区域地产,深圳,         34.69亿
0.48,77.42,饲料,深圳,         33.19亿
1.93,77.33,通信设备,江苏,         80.94亿
5.56,77.28,互联网,湖南,         51.78亿
3.42,77.02,广告包装,上海,          5.38亿
0.09,76.87,乳制品,新疆,         17.56亿
1.44,76.7,电气设备,江苏,         11.84亿
1.45,76.62,软件服务,北京,         10.82亿
1.4,76.5,医疗保健,深圳,          5.55亿
4.66,76.46,中成药,吉林,         74.78亿
0.81,76.41,黄金,山东,        683.77亿
4.07,76.07,汽车配件,江苏,         10.35亿
2.55,76.04,证券,广东,        112.08亿
4.01,75.95,汽车配件,浙江,         25.64亿
1.61,75.82,元器件,深圳,         15.89亿
-1.67,75.79,医疗保健,湖南,       1008.86亿
-1.84,75.71,化学制药,江苏,       3754.34亿
0.75,75.65,机械基件,浙江,         87.91亿
2.33,75.59,影视音像,广东,         71.59亿
0.95,75.51,焦炭加工,黑龙江,         68.53亿
1.91,75.48,电气设备,河南,         63.00亿
0.53,75.43,普钢,海南,        112.01亿
2.16,75.38,汽车配件,江苏,         11.78亿
4.22,75.04,电器仪表,河南,         15.14亿
2.13,75,专用机械,湖北,        105.27亿
1.17,74.94,机械基件,河南,         28.36亿
10.02,74.94,多元金融,上海,         22.94亿
0.97,74.91,电气设备,浙江,         67.96亿
3.23,74.86,软件服务,北京,         60.98亿
2.89,74.78,软件服务,广西,         69.95亿
2.37,74.42,通信设备,山东,        174.38亿
1.66,74.39,软件服务,湖南,         10.11亿
2.79,74.38,多元金融,山东,         29.40亿
3.13,74.36,通信设备,广东,         40.05亿
-0.7,74.34,生物制药,浙江,        213.51亿
3.05,74.3,批发业,深圳,         10.59亿
1.34,74.29,船舶,北京,        971.33亿
-1.29,74.24,服饰,浙江,         21.84亿
0,73.96,化学制药,西藏,          6.90亿
1.44,73.79,专用机械,江苏,         16.32亿
0.72,73.71,电气设备,上海,         40.76亿
1.49,73.7,专用机械,福建,         43.36亿
2.09,73.7,化学制药,上海,         57.65亿
1.44,73.69,电气设备,天津,         15.29亿
4.42,73.59,广告包装,安徽,         47.05亿
-0.25,73.56,专用机械,上海,         26.02亿
2.2,73.48,广告包装,陕西,         21.78亿
-1.54,73.48,生物制药,福建,         66.00亿
-0.18,73.24,互联网,深圳,        146.38亿
2.68,72.96,通信设备,湖北,         75.34亿
1.54,72.95,专用机械,上海,          7.00亿
2.54,72.84,通信设备,浙江,          9.46亿
0.99,72.71,染料涂料,江苏,          8.52亿
1.63,72.71,医疗保健,天津,          7.02亿
1.13,72.65,纺织,浙江,         22.83亿
2.63,72.62,航空,陕西,          9.55亿
1.37,72.48,运输设备,北京,         26.55亿
4.08,72.46,元器件,广东,         19.34亿
1.26,72.39,仓储物流,江苏,         23.44亿
1.15,72.36,电气设备,广东,         27.49亿
0.44,72.27,生物制药,山东,         38.16亿
7.4,72.17,专用机械,上海,         18.20亿
1.76,72.14,汽车配件,吉林,         18.78亿
1.75,72.05,电气设备,天津,         39.15亿
0.54,71.93,渔业,山东,         20.25亿
0.13,71.89,医疗保健,江苏,         49.93亿
2.24,71.86,软件服务,浙江,         32.02亿
4.61,71.85,家用电器,深圳,         68.55亿
6.81,71.66,元器件,深圳,        178.91亿
1.49,71.61,化工原料,山东,         11.20亿
0.73,71.28,综合类,上海,         19.26亿
9.97,71.27,半导体,江苏,         80.09亿
1.73,71.22,生物制药,内蒙,         20.91亿
2.23,71.17,通信设备,吉林,         25.22亿
10.01,70.97,汽车配件,江苏,         21.63亿
3.15,70.86,元器件,浙江,         18.15亿
3.02,70.8,软件服务,上海,        206.74亿
10.01,70.76,软件服务,北京,         12.37亿
0.72,70.66,半导体,上海,         21.12亿
-1.24,70.62,食品,浙江,         13.71亿
3.05,70.58,互联网,北京,         23.21亿
2.81,70.57,航空,北京,         15.28亿
1.55,70.49,区域地产,江苏,         36.88亿
2.33,70.43,通信设备,深圳,         86.96亿
2.61,70.38,元器件,四川,         37.83亿
1.28,70.37,环境保护,湖南,         30.00亿
0.29,70.26,综合类,辽宁,         21.29亿
1.31,70.23,医疗保健,安徽,        133.17亿
2.16,70.14,IT设备,广东,         22.84亿
1.51,70.1,旅游服务,湖北,         16.82亿
